Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,0.47uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C4, C5, C6, C7, C9",C_Disc_D3.0mm_W2.0mm_P2.50mm,16,0.1uF,
C2,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,15pF,
C3,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,5pF,
C8,CP_Radial_D8.0mm_P5.00mm,1,470uF,
D1,LED_D5.0mm,1,RUN,
D2,LED_D5.0mm,1,OP5,
D3,LED_D5.0mm,1,OP7,
D4,LED_D5.0mm,1,OP4,
D5,LED_D5.0mm,1,OP6,
J1,CF-Card_3M_N7E50-Q516RB-40,1,CompactFlash,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Serial1,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Serial2,
J4,PinHeader_2x15_P2.54mm_Vertical,1,ADBUS-EXP,
J5,PinHeader_2x20_P2.54mm_Vertical,1,ADBUS,
J6,PinHeader_2x20_P2.54mm_Vertical,1,SIGBUS,
"J7, J8, J9, JP4, JP5",PinHeader_1x02_P2.54mm_Vertical,5,POWER,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,ROMJMP,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,IRQ,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,~{IACK},
JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ENABLE,
JP7,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,PULLUP,
JP8,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ENABLE CFAK,
"R1, R10, R11, R2, R7, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,1k,
"R12, R3, R6, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,10k,
"R4, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,5.1k,
"RN1, RN2",R_Array_SIP9,2,10k,
SW1,SW_PUSH_6mm,1,~{RESET},
SW2,DIP-12_W7.62mm_LongPads,1,SW_DIP_x06,
SW3,SW_PUSH_6mm,1,IP2,
SW4,SW_PUSH_6mm,1,IP3,
TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,IPEND,
TP2,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,REFILL,
TP3,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,STATUS,
TP4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,~{DSACK-EXT},
TP5,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,IP3,
TP6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,IP2,
TP7,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,RMC,
TP8,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,~{DSACK-SEL},
U1,PQFP-132_24x24mm_P0.635mm,1,MC68030FE,
"U10, U9",SSOP-16_5.3x6.2mm_P0.65mm,2,74HC253,
U11,TSSOP-16_4.4x5mm_P0.65mm,1,74HC138,
U12,TSSOP-14_4.4x5mm_P0.65mm,1,74HC393,
U13,PLCC-44_THT-Socket,1,MC68681,
"U14, U15",TSOP-II-44_10.16x18.41mm_P0.8mm,2,AS6C8016,
U16,PLCC-32_THT-Socket,1,AM29F040,
U17,SOT-353_SC-70-5_Handsoldering,1,74LVC1G32,
U2,TSSOP-14_4.4x5mm_P0.65mm,1,74HC14,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,74HC05,
U4,TSSOP-16_4.4x5mm_P0.65mm,1,74HC139,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,4072,
U6,TSSOP-14_4.4x5mm_P0.65mm,1,74HC20,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,74HC32,
U8,TSSOP-14_4.4x5mm_P0.65mm,1,74HC08,
"Y1, Y2",Crystal_HC49-4H_Vertical,2,Crystal,
